M15, stop 1.0xATR, TP 2.0R, horizon 96 bars

=== BTCUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_london          BUY   20.9%    4831   32.9%   +2.3%   -0.242   +0.068
  session_ny              BUY   20.8%    4822   32.6%   +2.0%   -0.251   +0.059
  sweep_high             SELL    4.5%    1035   35.7%   +0.9%   -0.160   +0.028
  wick_reject            SELL   20.2%    4682   35.5%   +0.8%   -0.164   +0.025
  htf_aligned             BUY   32.7%    7584   31.5%   +0.8%   -0.285   +0.025
  fvg                    SELL    6.9%    1591   35.5%   +0.8%   -0.164   +0.024
  fvg                     BUY    6.6%    1540   31.4%   +0.8%   -0.287   +0.023
  bos                     BUY   10.6%    2458   31.2%   +0.6%   -0.292   +0.017
  displacement            BUY    4.9%    1143   31.1%   +0.5%   -0.295   +0.014
  session_asia           SELL   33.4%    7724   35.2%   +0.4%   -0.175   +0.013
  htf_aligned            SELL   63.8%   14773   35.0%   +0.3%   -0.180   +0.009
  _BASELINE               BUY  100.0%   23160   30.7%   +0.0%   -0.310   +0.000
  _BASELINE              SELL  100.0%   23160   34.7%   +0.0%   -0.188   +0.000
  retest                  BUY   22.4%    5199   30.6%   -0.1%   -0.312   -0.003
  sweep_low               BUY    5.2%    1215   30.5%   -0.2%   -0.316   -0.006
  displacement           SELL    4.9%    1126   34.5%   -0.3%   -0.196   -0.008
  session_asia            BUY   33.4%    7724   29.8%   -0.8%   -0.335   -0.025
  session_london         SELL   20.9%    4831   33.7%   -1.0%   -0.219   -0.031
  premium                SELL   34.6%    8007   33.7%   -1.0%   -0.220   -0.031
  wick_reject             BUY   20.0%    4625   29.3%   -1.4%   -0.352   -0.042
  bos                    SELL   11.4%    2632   33.2%   -1.5%   -0.232   -0.044
  session_ny             SELL   20.8%    4822   33.2%   -1.5%   -0.233   -0.044
  discount                BUY   42.2%    9781   28.6%   -2.1%   -0.373   -0.063
  retest                 SELL   23.8%    5517   32.4%   -2.3%   -0.259   -0.070
  volspike               SELL    7.8%    1808   32.1%   -2.6%   -0.266   -0.077

=== US Tech 100
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_asia            BUY   35.0%    5459   36.7%   +2.6%   +0.082   +0.077
  bos                    SELL   11.5%    1795   34.0%   +1.6%   +0.001   +0.048
  htf_aligned             BUY   52.6%    8186   35.5%   +1.3%   +0.044   +0.038
  displacement           SELL    5.1%     791   33.5%   +1.1%   -0.015   +0.032
  retest                 SELL   22.2%    3456   33.5%   +1.0%   -0.016   +0.031
  fvg                    SELL    6.2%     968   33.4%   +0.9%   -0.019   +0.028
  htf_aligned            SELL   42.8%    6665   33.3%   +0.9%   -0.021   +0.026
  fvg                     BUY    7.2%    1114   35.0%   +0.8%   +0.030   +0.024
  bos                     BUY   13.6%    2113   34.6%   +0.4%   +0.019   +0.013
  retest                  BUY   25.7%    4001   34.4%   +0.2%   +0.011   +0.005
  session_ny             SELL   21.9%    3405   32.5%   +0.1%   -0.044   +0.003
  session_asia           SELL   35.0%    5459   32.5%   +0.1%   -0.044   +0.003
  _BASELINE               BUY  100.0%   15576   34.2%   +0.0%   +0.006   +0.000
  _BASELINE              SELL  100.0%   15576   32.4%   +0.0%   -0.047   +0.000
  wick_reject            SELL   20.2%    3154   32.4%   -0.0%   -0.048   -0.001
  session_london          BUY   22.0%    3420   33.9%   -0.3%   -0.004   -0.009
  volspike               SELL    4.8%     742   32.1%   -0.4%   -0.058   -0.011
  wick_reject             BUY   20.6%    3212   33.8%   -0.4%   -0.007   -0.012
  discount                BUY   32.1%    5006   33.8%   -0.4%   -0.007   -0.012
  premium                SELL   47.1%    7337   31.9%   -0.5%   -0.063   -0.016
  session_london         SELL   22.0%    3420   31.2%   -1.2%   -0.083   -0.036
  displacement            BUY    4.8%     745   32.3%   -1.8%   -0.050   -0.055
  volspike                BUY    4.5%     706   32.2%   -2.0%   -0.056   -0.061
  sweep_low               BUY    5.6%     874   32.0%   -2.2%   -0.059   -0.065
  sweep_high             SELL    7.2%    1117   30.0%   -2.4%   -0.121   -0.073
