M15, stop 1.0xATR, TP 2.0R, horizon 96 bars

=== BTCUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  displacement           SELL    4.2%     695   30.4%   -3.3%   -0.278   -0.098
  session_ny             SELL   20.8%    3420   30.1%   -3.5%   -0.285   -0.105

=== EURGBP
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_asia            BUY   33.3%    5463   32.5%   +5.5%   -0.692   +0.165
  volspike                BUY    6.1%    1002   31.3%   +4.4%   -0.726   +0.131
  premium                SELL   41.5%    6805   42.4%   +4.0%   -0.395   +0.121
  discount                BUY   33.0%    5406   30.3%   +3.3%   -0.758   +0.099
  session_london          BUY   20.8%    3420   30.0%   +3.1%   -0.765   +0.092
  sweep_low               BUY    5.7%     940   28.9%   +2.0%   -0.798   +0.059
  sweep_high             SELL    5.5%     904   40.2%   +1.8%   -0.461   +0.055
  displacement            BUY    4.7%     770   28.2%   +1.2%   -0.821   +0.037
  wick_reject            SELL   22.8%    3743   39.5%   +1.1%   -0.482   +0.034
  htf_aligned             BUY   41.8%    6856   27.9%   +1.0%   -0.828   +0.029
  htf_aligned            SELL   53.6%    8784   39.2%   +0.9%   -0.490   +0.026
  session_ny             SELL   20.8%    3420   38.9%   +0.5%   -0.500   +0.016
  wick_reject             BUY   22.5%    3695   27.0%   +0.0%   -0.856   +0.001
  _BASELINE               BUY  100.0%   16403   27.0%   +0.0%   -0.857   +0.000
  _BASELINE              SELL  100.0%   16403   38.3%   +0.0%   -0.516   +0.000
  fvg                     BUY    4.8%     789   26.5%   -0.5%   -0.871   -0.014
  bos                     BUY   10.3%    1687   26.4%   -0.6%   -0.875   -0.018
  session_ny              BUY   20.8%    3420   26.0%   -1.0%   -0.886   -0.029
  retest                  BUY   24.7%    4053   25.9%   -1.1%   -0.890   -0.032
  session_london         SELL   20.8%    3420   35.8%   -2.5%   -0.591   -0.075
  retest                 SELL   25.2%    4127   34.4%   -4.0%   -0.635   -0.119
  volspike               SELL    5.7%     940   33.6%   -4.7%   -0.658   -0.141
  bos                    SELL   11.1%    1824   33.4%   -4.9%   -0.663   -0.147
  fvg                    SELL    5.1%     834   33.0%   -5.4%   -0.677   -0.161
  displacement           SELL    4.3%     712   32.6%   -5.7%   -0.689   -0.172
  session_asia           SELL   33.3%    5463   32.1%   -6.2%   -0.702   -0.186

=== USDCHF
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  sweep_low               BUY    5.1%     832   35.1%   +3.5%   -0.324   +0.106
  premium                SELL   47.8%    7840   38.3%   +3.1%   -0.230   +0.094
  session_asia            BUY   33.3%    5463   34.5%   +3.0%   -0.342   +0.089
  discount                BUY   32.2%    5286   33.6%   +2.1%   -0.368   +0.062
  session_london          BUY   20.9%    3420   33.5%   +1.9%   -0.373   +0.057
  sweep_high             SELL    6.6%    1077   37.0%   +1.8%   -0.269   +0.055
  session_ny              BUY   20.9%    3420   33.2%   +1.6%   -0.382   +0.049
  displacement            BUY    5.8%     958   32.5%   +0.9%   -0.403   +0.027
  volspike                BUY    6.4%    1047   32.2%   +0.6%   -0.412   +0.019
  _BASELINE               BUY  100.0%   16401   31.6%   +0.0%   -0.430   +0.000
  _BASELINE              SELL  100.0%   16401   35.1%   +0.0%   -0.324   +0.000
  htf_aligned            SELL   40.6%    6666   35.1%   -0.0%   -0.324   -0.000
  wick_reject            SELL   19.3%    3172   34.6%   -0.6%   -0.341   -0.017
  htf_aligned             BUY   54.7%    8972   30.8%   -0.8%   -0.454   -0.024
  wick_reject             BUY   20.4%    3341   30.5%   -1.1%   -0.463   -0.033
  session_london         SELL   20.9%    3420   33.5%   -1.6%   -0.373   -0.049
  bos                     BUY   13.2%    2165   29.8%   -1.7%   -0.482   -0.052
  retest                  BUY   25.2%    4138   29.8%   -1.7%   -0.483   -0.052
  session_asia           SELL   33.3%    5463   33.2%   -2.0%   -0.383   -0.059
  fvg                     BUY    7.5%    1226   29.4%   -2.2%   -0.496   -0.066
  session_ny             SELL   20.9%    3420   32.5%   -2.6%   -0.401   -0.077
  displacement           SELL    5.6%     921   32.1%   -3.0%   -0.413   -0.089
  bos                    SELL   11.6%    1899   32.1%   -3.1%   -0.415   -0.092
  retest                 SELL   22.9%    3764   31.9%   -3.2%   -0.419   -0.096
  volspike               SELL    6.9%    1125   31.7%   -3.4%   -0.425   -0.102
  fvg                    SELL    6.7%    1094   30.1%   -5.0%   -0.475   -0.151

=== AUDUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_london          BUY   20.9%    3420   35.1%   +4.4%   -0.184   +0.131
  session_asia            BUY   33.3%    5463   35.0%   +4.2%   -0.189   +0.126
  sweep_low               BUY    5.2%     850   33.5%   +2.7%   -0.233   +0.082
  displacement            BUY    5.3%     863   33.5%   +2.7%   -0.234   +0.081
  discount                BUY   35.3%    5784   33.1%   +2.3%   -0.246   +0.069
  sweep_high             SELL    5.5%     903   38.6%   +2.2%   -0.079   +0.065
  premium                SELL   41.8%    6855   38.5%   +2.0%   -0.085   +0.060
  session_ny             SELL   20.9%    3420   38.2%   +1.7%   -0.093   +0.052
  wick_reject            SELL   20.5%    3363   37.8%   +1.3%   -0.106   +0.039
  htf_aligned            SELL   36.7%    6020   37.7%   +1.2%   -0.108   +0.037
  fvg                     BUY    6.6%    1082   32.0%   +1.2%   -0.279   +0.036
  volspike                BUY    6.0%     989   31.6%   +0.9%   -0.289   +0.026
  htf_aligned             BUY   58.6%    9606   31.4%   +0.6%   -0.298   +0.018
  _BASELINE               BUY  100.0%   16389   30.8%   +0.0%   -0.315   +0.000
  _BASELINE              SELL  100.0%   16389   36.5%   +0.0%   -0.145   +0.000
  bos                     BUY   12.0%    1968   30.6%   -0.1%   -0.320   -0.004
  wick_reject             BUY   20.0%    3278   30.6%   -0.2%   -0.320   -0.005
  retest                 SELL   24.3%    3980   35.0%   -1.5%   -0.190   -0.045
  retest                  BUY   24.4%    4000   28.7%   -2.1%   -0.379   -0.063
  session_ny              BUY   20.9%    3420   28.4%   -2.4%   -0.387   -0.072
  displacement           SELL    4.8%     794   33.5%   -3.0%   -0.234   -0.089
  volspike               SELL    6.0%     986   33.2%   -3.3%   -0.244   -0.099
  bos                    SELL   12.0%    1972   32.9%   -3.6%   -0.253   -0.108
  session_asia           SELL   33.3%    5463   32.6%   -3.9%   -0.262   -0.117
  session_london         SELL   20.9%    3420   32.0%   -4.5%   -0.279   -0.134
  fvg                    SELL    6.4%    1056   31.5%   -4.9%   -0.293   -0.148

=== XAUUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_ny             SELL   21.9%    3400   37.8%   +3.0%   +0.073   +0.090
  fvg                     BUY    6.7%    1035   33.6%   +2.5%   -0.053   +0.074
  session_asia            BUY   34.9%    5427   33.1%   +1.9%   -0.069   +0.058
  bos                     BUY   11.8%    1835   32.9%   +1.7%   -0.076   +0.052
  sweep_high             SELL    5.9%     919   36.3%   +1.5%   +0.029   +0.046
  htf_aligned            SELL   46.7%    7258   35.7%   +0.9%   +0.009   +0.026
  displacement            BUY    4.7%     729   32.0%   +0.8%   -0.103   +0.025
  retest                  BUY   23.2%    3605   31.9%   +0.8%   -0.105   +0.023
  sweep_low               BUY    5.6%     869   31.9%   +0.7%   -0.105   +0.022
  fvg                    SELL    6.0%     927   35.3%   +0.5%   -0.003   +0.014
  session_london         SELL   21.9%    3400   35.3%   +0.4%   -0.004   +0.013
  wick_reject             BUY   20.6%    3204   31.5%   +0.4%   -0.116   +0.011
  htf_aligned             BUY   48.6%    7550   31.3%   +0.2%   -0.122   +0.005
  premium                SELL   42.7%    6631   34.9%   +0.1%   -0.015   +0.002
  _BASELINE               BUY  100.0%   15533   31.1%   +0.0%   -0.128   +0.000
  _BASELINE              SELL  100.0%   15533   34.8%   +0.0%   -0.017   +0.000
  wick_reject            SELL   20.0%    3101   34.7%   -0.1%   -0.020   -0.003
  discount                BUY   34.9%    5420   30.8%   -0.4%   -0.138   -0.011
  session_asia           SELL   34.9%    5427   34.2%   -0.6%   -0.036   -0.019
  volspike               SELL    2.1%     333   33.9%   -0.9%   -0.044   -0.026
  session_ny              BUY   21.9%    3400   29.9%   -1.2%   -0.164   -0.037
  retest                 SELL   23.8%    3690   33.0%   -1.8%   -0.072   -0.055
  bos                    SELL   11.2%    1744   32.5%   -2.3%   -0.086   -0.069
  session_london          BUY   21.9%    3400   28.0%   -3.2%   -0.223   -0.095
  volspike                BUY    2.0%     315   26.7%   -4.5%   -0.262   -0.134
  displacement           SELL    5.0%     771   29.6%   -5.2%   -0.175   -0.157

=== XAGUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  fvg                     BUY    6.7%    1035   35.3%   +4.6%   -0.097   +0.139
  displacement            BUY    4.8%     741   33.5%   +2.8%   -0.151   +0.085
  session_asia            BUY   34.9%    5427   33.2%   +2.6%   -0.158   +0.079
  session_london         SELL   21.9%    3400   38.4%   +2.1%   -0.005   +0.064
  bos                     BUY   12.0%    1871   32.2%   +1.6%   -0.190   +0.047
  htf_aligned            SELL   49.6%    7702   37.6%   +1.4%   -0.028   +0.041
  retest                  BUY   22.6%    3517   31.8%   +1.2%   -0.200   +0.037
  session_ny             SELL   21.9%    3400   37.4%   +1.2%   -0.033   +0.036
  retest                 SELL   23.1%    3583   37.0%   +0.8%   -0.044   +0.025
  volspike                BUY    5.3%     824   31.1%   +0.4%   -0.223   +0.013
  htf_aligned             BUY   45.7%    7105   30.8%   +0.2%   -0.231   +0.005
  _BASELINE               BUY  100.0%   15532   30.6%   +0.0%   -0.237   +0.000
  _BASELINE              SELL  100.0%   15532   36.2%   +0.0%   -0.069   +0.000
  sweep_high             SELL    5.9%     915   36.1%   -0.1%   -0.073   -0.004
  session_ny              BUY   21.9%    3400   30.2%   -0.4%   -0.250   -0.013
  sweep_low               BUY    5.3%     819   30.2%   -0.5%   -0.251   -0.014
  wick_reject            SELL   19.9%    3097   35.7%   -0.5%   -0.084   -0.015
  premium                SELL   43.0%    6671   35.7%   -0.5%   -0.085   -0.016
  wick_reject             BUY   20.2%    3143   29.5%   -1.1%   -0.270   -0.034
  discount                BUY   34.1%    5299   29.2%   -1.4%   -0.279   -0.042
  session_asia           SELL   34.9%    5427   34.7%   -1.5%   -0.114   -0.046
  volspike               SELL    5.2%     806   34.4%   -1.8%   -0.124   -0.055
  bos                    SELL   10.9%    1700   33.2%   -3.0%   -0.158   -0.089
  displacement           SELL    5.0%     771   33.1%   -3.1%   -0.163   -0.094
  session_london          BUY   21.9%    3400   26.9%   -3.7%   -0.349   -0.112
  fvg                    SELL    6.0%     930   32.2%   -4.1%   -0.191   -0.122

=== XPTUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  displacement            BUY    4.8%     745   32.8%   +3.0%   -1.238   +0.089
  session_asia            BUY   34.9%    5424   31.1%   +1.3%   -1.287   +0.040
  htf_aligned            SELL   49.7%    7719   36.1%   +1.2%   -1.136   +0.036
  fvg                     BUY    5.8%     899   30.9%   +1.1%   -1.292   +0.034
  premium                SELL   39.7%    6170   36.0%   +1.1%   -1.141   +0.032
  session_ny             SELL   21.9%    3400   35.7%   +0.8%   -1.148   +0.024
  discount                BUY   37.8%    5863   30.3%   +0.5%   -1.310   +0.016
  retest                 SELL   23.3%    3618   35.4%   +0.4%   -1.160   +0.013
  wick_reject            SELL   20.1%    3125   35.1%   +0.1%   -1.168   +0.004
  htf_aligned             BUY   45.6%    7083   29.9%   +0.1%   -1.324   +0.003
  _BASELINE               BUY  100.0%   15527   29.8%   +0.0%   -1.327   +0.000
  _BASELINE              SELL  100.0%   15527   34.9%   +0.0%   -1.172   +0.000
  bos                     BUY   12.1%    1877   29.6%   -0.2%   -1.333   -0.006
  session_london          BUY   21.9%    3400   29.4%   -0.4%   -1.338   -0.011
  sweep_low               BUY    6.2%     962   29.0%   -0.8%   -1.350   -0.023
  session_london         SELL   21.9%    3400   34.1%   -0.8%   -1.198   -0.025
  session_asia           SELL   34.9%    5424   34.1%   -0.9%   -1.199   -0.026
  volspike                BUY    3.9%     609   28.9%   -0.9%   -1.353   -0.026
  wick_reject             BUY   22.7%    3521   28.6%   -1.2%   -1.363   -0.036
  retest                  BUY   23.9%    3714   27.7%   -2.1%   -1.390   -0.063
  session_ny              BUY   21.9%    3400   27.4%   -2.4%   -1.398   -0.071
  sweep_high             SELL    6.0%     936   32.5%   -2.4%   -1.246   -0.073
  fvg                    SELL    5.5%     847   32.0%   -2.9%   -1.260   -0.088
  bos                    SELL   10.1%    1569   31.9%   -3.0%   -1.262   -0.090
  displacement           SELL    4.8%     752   31.5%   -3.4%   -1.275   -0.102
  volspike               SELL    3.8%     595   30.4%   -4.5%   -1.308   -0.135

=== Crash 300 Index
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  displacement           SELL    9.7%    2251   32.0%   +1.3%   -0.115   +0.039
  htf_aligned             BUY   46.7%   10818   39.4%   +1.1%   +0.107   +0.033
  discount                BUY   40.8%    9455   39.4%   +1.1%   +0.106   +0.032
  sweep_high             SELL    7.0%    1617   31.7%   +1.0%   -0.123   +0.031
  bos                    SELL   13.3%    3072   31.7%   +1.0%   -0.124   +0.030
  fvg                    SELL    9.4%    2171   31.5%   +0.8%   -0.131   +0.023
  premium                SELL   39.3%    9104   31.2%   +0.5%   -0.140   +0.015
  session_london         SELL   20.9%    4840   31.1%   +0.5%   -0.140   +0.014
  htf_aligned            SELL   49.9%   11552   31.1%   +0.4%   -0.141   +0.013
  session_asia            BUY   33.3%    7727   38.7%   +0.4%   +0.085   +0.011
  wick_reject             BUY   14.7%    3396   38.6%   +0.3%   +0.085   +0.010
  session_london          BUY   20.9%    4840   38.6%   +0.3%   +0.083   +0.009
  retest                  BUY   24.0%    5553   38.3%   +0.0%   +0.075   +0.001
  _BASELINE               BUY  100.0%   23173   38.3%   +0.0%   +0.074   +0.000
  _BASELINE              SELL  100.0%   23173   30.7%   +0.0%   -0.154   +0.000
  wick_reject            SELL   15.2%    3524   30.6%   -0.1%   -0.158   -0.003
  session_ny              BUY   20.8%    4822   38.2%   -0.1%   +0.071   -0.004
  fvg                     BUY   13.4%    3116   38.1%   -0.2%   +0.068   -0.006
  sweep_low               BUY    4.6%    1072   38.1%   -0.2%   +0.067   -0.007
  retest                 SELL   22.4%    5196   30.4%   -0.3%   -0.163   -0.009
  bos                     BUY   18.6%    4305   37.9%   -0.4%   +0.063   -0.011
  session_asia           SELL   33.3%    7727   30.3%   -0.4%   -0.166   -0.011
  session_ny             SELL   20.8%    4822   30.3%   -0.4%   -0.167   -0.013
  displacement            BUY    6.7%    1559   37.8%   -0.5%   +0.061   -0.014

=== Crash 500 Index
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_ny             SELL   20.8%    4822   33.7%   +2.9%   -0.037   +0.086
  sweep_low               BUY    4.0%     927   40.7%   +2.6%   +0.171   +0.078
  session_asia            BUY   33.3%    7727   39.2%   +1.1%   +0.127   +0.033
  retest                 SELL   21.9%    5081   31.3%   +0.5%   -0.109   +0.015
  premium                SELL   38.2%    8861   30.9%   +0.0%   -0.122   +0.001
  _BASELINE               BUY  100.0%   23173   38.1%   +0.0%   +0.094   +0.000
  _BASELINE              SELL  100.0%   23173   30.8%   +0.0%   -0.123   +0.000
  session_london          BUY   20.9%    4840   38.0%   -0.0%   +0.092   -0.001
  discount                BUY   41.5%    9627   37.9%   -0.1%   +0.089   -0.004
  wick_reject            SELL   14.0%    3255   30.7%   -0.2%   -0.128   -0.005
  fvg                    SELL   10.0%    2325   30.7%   -0.2%   -0.129   -0.005
  session_london         SELL   20.9%    4840   30.6%   -0.3%   -0.132   -0.009
  wick_reject             BUY   14.0%    3234   37.7%   -0.4%   +0.082   -0.011
  htf_aligned             BUY   44.1%   10208   37.6%   -0.4%   +0.081   -0.013
  htf_aligned            SELL   52.5%   12162   30.3%   -0.5%   -0.138   -0.015
  retest                  BUY   22.9%    5307   37.4%   -0.7%   +0.072   -0.021
  fvg                     BUY   15.3%    3548   37.3%   -0.8%   +0.071   -0.023
  sweep_high             SELL    6.7%    1545   30.0%   -0.8%   -0.148   -0.024
  session_asia           SELL   33.3%    7727   30.0%   -0.8%   -0.148   -0.025
  bos                     BUY   19.3%    4466   36.9%   -1.2%   +0.059   -0.035
  displacement           SELL   11.0%    2550   29.5%   -1.3%   -0.163   -0.040
  bos                    SELL   13.5%    3134   29.2%   -1.7%   -0.174   -0.050
  session_ny              BUY   20.8%    4822   35.7%   -2.4%   +0.022   -0.072
  displacement            BUY    1.9%     435   35.4%   -2.7%   +0.013   -0.080

=== Crash 1000 Index
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  fvg                    SELL   11.5%    2663   29.3%   +1.3%   -0.190   +0.039
  bos                     BUY   24.4%    5658   44.2%   +1.0%   +0.258   +0.029
  sweep_high             SELL    6.7%    1545   28.8%   +0.8%   -0.205   +0.023
  wick_reject             BUY    8.6%    2001   44.0%   +0.8%   +0.251   +0.023
  displacement           SELL   12.6%    2917   28.7%   +0.7%   -0.208   +0.021
  fvg                     BUY   23.5%    5442   43.9%   +0.6%   +0.247   +0.018
  session_asia           SELL   33.3%    7727   28.6%   +0.6%   -0.210   +0.018
  wick_reject            SELL    8.5%    1960   28.6%   +0.5%   -0.212   +0.016
  session_ny             SELL   20.8%    4822   28.5%   +0.5%   -0.215   +0.014
  session_ny              BUY   20.8%    4822   43.4%   +0.2%   +0.234   +0.005
  _BASELINE               BUY  100.0%   23173   43.3%   +0.0%   +0.229   +0.000
  _BASELINE              SELL  100.0%   23173   28.0%   +0.0%   -0.228   +0.000
  session_asia            BUY   33.3%    7727   43.2%   -0.0%   +0.228   -0.001
  retest                  BUY   20.8%    4813   43.2%   -0.0%   +0.228   -0.001
  htf_aligned             BUY   55.0%   12752   43.2%   -0.1%   +0.225   -0.003
  session_london          BUY   20.9%    4840   43.1%   -0.1%   +0.225   -0.004
  htf_aligned            SELL   41.5%    9618   27.6%   -0.4%   -0.240   -0.012
  retest                 SELL   19.6%    4532   27.6%   -0.4%   -0.241   -0.012
  bos                    SELL   13.2%    3069   27.5%   -0.6%   -0.245   -0.017
  premium                SELL   44.0%   10198   27.3%   -0.7%   -0.249   -0.021
  session_london         SELL   20.9%    4840   26.8%   -1.2%   -0.265   -0.037
  discount                BUY   38.2%    8856   41.9%   -1.4%   +0.188   -0.041
  sweep_low               BUY    2.6%     604   41.9%   -1.4%   +0.187   -0.041

=== Jump 100 Index
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  sweep_high             SELL    5.9%    1374   37.8%   +3.0%   +0.106   +0.090
  sweep_low               BUY    6.5%    1508   35.5%   +2.5%   +0.039   +0.075
  session_asia           SELL   33.3%    7727   36.1%   +1.3%   +0.054   +0.038
  discount                BUY   43.6%   10106   34.1%   +1.1%   -0.004   +0.032
  session_ny              BUY   20.8%    4822   34.1%   +1.0%   -0.005   +0.031
  wick_reject            SELL   17.7%    4102   35.3%   +0.5%   +0.031   +0.015
  session_london          BUY   20.9%    4840   33.5%   +0.5%   -0.022   +0.014
  premium                SELL   36.7%    8493   35.1%   +0.3%   +0.025   +0.008
  session_asia            BUY   33.3%    7727   33.2%   +0.1%   -0.033   +0.004
  wick_reject             BUY   17.5%    4044   33.1%   +0.1%   -0.033   +0.003
  _BASELINE               BUY  100.0%   23173   33.0%   +0.0%   -0.036   +0.000
  _BASELINE              SELL  100.0%   23173   34.8%   +0.0%   +0.016   +0.000
  session_london         SELL   20.9%    4840   34.6%   -0.2%   +0.011   -0.005
  retest                  BUY   23.9%    5532   32.5%   -0.6%   -0.053   -0.017
  htf_aligned            SELL   56.7%   13138   34.0%   -0.8%   -0.007   -0.023
  fvg                     BUY    8.6%    1988   32.1%   -0.9%   -0.063   -0.027
  displacement           SELL    7.1%    1642   33.6%   -1.2%   -0.019   -0.035
  htf_aligned             BUY   39.8%    9232   31.8%   -1.2%   -0.072   -0.036
  fvg                    SELL    9.2%    2121   33.4%   -1.4%   -0.024   -0.041
  bos                     BUY   13.7%    3183   31.6%   -1.4%   -0.078   -0.042
  displacement            BUY    6.7%    1548   31.5%   -1.5%   -0.081   -0.045
  session_ny             SELL   20.8%    4822   33.1%   -1.7%   -0.034   -0.050
  retest                 SELL   25.4%    5882   32.9%   -1.9%   -0.040   -0.057
  bos                    SELL   14.8%    3422   32.2%   -2.6%   -0.060   -0.077

=== Volatility 75 Index
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_london          BUY   20.9%    4840   36.9%   +2.6%   +0.025   +0.078
  retest                  BUY   25.9%    6007   35.6%   +1.3%   -0.014   +0.039
  displacement            BUY    6.0%    1384   35.3%   +1.1%   -0.021   +0.032
  wick_reject             BUY   19.3%    4483   35.3%   +1.0%   -0.022   +0.031
  session_asia           SELL   33.3%    7727   33.7%   +1.0%   -0.069   +0.030
  fvg                    SELL    7.1%    1643   33.7%   +1.0%   -0.069   +0.030
  bos                    SELL   13.6%    3154   33.6%   +0.9%   -0.072   +0.027
  retest                 SELL   25.2%    5830   33.3%   +0.5%   -0.083   +0.016
  fvg                     BUY    7.4%    1704   34.7%   +0.4%   -0.040   +0.012
  _BASELINE               BUY  100.0%   23172   34.3%   +0.0%   -0.053   +0.000
  _BASELINE              SELL  100.0%   23172   32.7%   +0.0%   -0.099   +0.000
  session_ny              BUY   20.8%    4821   34.2%   -0.0%   -0.053   -0.001
  sweep_high             SELL    6.5%    1513   32.5%   -0.2%   -0.105   -0.006
  session_ny             SELL   20.8%    4821   32.5%   -0.2%   -0.106   -0.007
  wick_reject            SELL   18.9%    4389   32.5%   -0.2%   -0.106   -0.007
  htf_aligned            SELL   43.1%    9985   32.4%   -0.3%   -0.109   -0.010
  htf_aligned             BUY   53.4%   12384   33.8%   -0.5%   -0.066   -0.014
  bos                     BUY   13.9%    3219   33.8%   -0.5%   -0.068   -0.015
  premium                SELL   41.2%    9551   32.1%   -0.7%   -0.119   -0.020
  displacement           SELL    5.8%    1337   32.0%   -0.7%   -0.120   -0.021
  sweep_low               BUY    6.7%    1556   32.5%   -1.8%   -0.105   -0.053
  session_asia            BUY   33.3%    7727   32.3%   -2.0%   -0.111   -0.059
  discount                BUY   39.9%    9255   32.2%   -2.1%   -0.116   -0.063
  session_london         SELL   20.9%    4840   29.7%   -3.1%   -0.191   -0.092


============ ATOM RANKING, averaged across all symbols ============
atom                      symbols  mean liftExp  positive on
sweep_low                      24       +0.0267      16/24
discount                       24       +0.0226      15/24
premium                        24       +0.0194      16/24
sweep_high                     24       +0.0177      15/24
session_asia                   48       +0.0064      25/48
htf_aligned                    48       +0.0028      27/48
session_london                 48       +0.0003      19/48
session_ny                     48       -0.0032      23/48
wick_reject                    48       -0.0039      20/48
displacement                   47       -0.0144      24/47
fvg                            48       -0.0172      24/48
volspike                       36       -0.0213      15/36
retest                         48       -0.0269      12/48
bos                            48       -0.0367      11/48
